created_at,username,text,likes,retweets,hashtags
Thu Nov 07 23:29:17 +0000 2019,alferdez,"RT @DanteForesi: Los que aún tienen dudas, incluso desde dentro del kirchnerismo, sobre la solidez ideológica de @alferdez, tienen que ver…",0,524,[]
Thu Nov 07 21:39:06 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @MashiRafael @ActualidadRT 📺 ""Tenemos que trabajar para perfeccionar la unidad latinoamericana. Nuestra prime…",0,750,[]
Thu Nov 07 21:38:59 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @MashiRafael @ActualidadRT 📺 ""América Latina vive un proceso de desintegración creciente con acuerdos regiona…",0,382,[]
Thu Nov 07 21:38:57 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @MashiRafael @ActualidadRT 📺""La comunidad de naciones libres tiene que saber lo que pasó. Siempre hemos hecho…",0,429,[]
Thu Nov 07 21:38:54 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @MashiRafael @ActualidadRT 📺 ""El FMI le prestó a Macri 57 mil millones de dólares que representa el 60% de lo…",0,541,[]
Thu Nov 07 21:38:51 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @MashiRafael @ActualidadRT 📺 ""La gran causa de la victoria es la unidad del campo popular. Desde el 2003 en a…",0,336,[]
Thu Nov 07 21:38:48 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @MashiRafael @ActualidadRT 📺""¿Por qué en la década de oro que vivió América Latina no pudimos romper definiti…",0,329,[]
Thu Nov 07 21:38:46 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @MashiRafael @ActualidadRT 📺 ""El día que nació el peronismo nació el antiperonismo. Mientras el peronismo viv…",0,333,[]
Thu Nov 07 21:38:40 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez 📺""Evo hizo la revolución más enorme en América Latina porque cambió la estructura económica de Bolivia. No se…",0,481,[]
Thu Nov 07 21:38:38 +0000 2019,alferdez,"RT @alferdezprensa: 📺""El modelo a seguir en Chile era que el 1% se lleve el 30% del ingreso. Al ver esa desigualdad el milagro chileno no e…",0,452,[]
Thu Nov 07 21:37:05 +0000 2019,alferdez,"RT @alferdezprensa: 📺 ""América Latina tiene un debate donde se enfrenta una sociedad que quiere crecer con un sector que se conforma con el…",0,1422,[]
